[2025-11-08 12:31:59] IP: 127.0.0.1 | Método: GET | Ruta: /.well-known/appspecific/com.chrome.devtools.json | Respuesta: 404
[2025-11-08 12:33:03] IP: 127.0.0.1 | Método:  | Ruta:  | Respuesta: 405
[2025-11-08 12:33:03] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 12:33:03] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 12:33:03] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 12:33:03] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
[2025-11-08 12:33:03] IP: 127.0.0.1 | Método: GET | Ruta: /.well-known/appspecific/com.chrome.devtools.json | Respuesta: 404
[2025-11-08 12:34:39] IP: 127.0.0.1 | Método: GET | Ruta: / | Respuesta: 200
[2025-11-08 12:34:40] IP: 127.0.0.1 | Método: GET | Ruta: /.well-known/appspecific/com.chrome.devtools.json | Respuesta: 404
[2025-11-08 12:34:40] IP: 127.0.0.1 | Método: GET | Ruta: /styles.css | Respuesta: 200
[2025-11-08 12:34:40] IP: 127.0.0.1 | Método: GET | Ruta: /script.js | Respuesta: 200
[2025-11-08 12:34:40] IP: 127.0.0.1 | Método: GET | Ruta: /imagen.png | Respuesta: 200
[2025-11-08 12:34:40] IP: 127.0.0.1 | Método: GET | Ruta: /favicon.ico | Respuesta: 404
